,lat,long,elevation
131,-86.14286,-175.84615,2773.803466796875
132,-86.14286,-173.07692,2813.9951171875
133,-86.14286,-170.30769,2399.529541015625
134,-86.14286,-167.53846,2150.5126953125
135,-86.14286,-164.76923,1975.284545898438
136,-86.14286,-162.0,1763.666015625
137,-86.14286,-159.23077,1535.825561523438
138,-86.14286,-156.46154,3090.897705078125
139,-86.14286,-153.69231,1606.439575195312
140,-86.14286,-150.92308,1157.845825195312
141,-86.14286,-148.15385,1528.858642578125
142,-86.14286,-145.38462,2477.450927734375
143,-86.14286,-142.61538,2397.960693359375
144,-86.14286,-139.84615,2469.778076171875
145,-86.14286,-137.07692,2742.669921875
146,-86.14286,-134.30769,2853.031982421875
147,-86.14286,-131.53846,1817.564697265625
148,-86.14286,-128.76923,1686.41455078125
149,-86.14286,-126.0,1908.816772460938
150,-86.14286,-123.23077,2268.663330078125
151,-86.14286,-120.46154,2415.1396484375
152,-86.14286,-117.69231,2367.8818359375
153,-86.14286,-114.92308,2402.615234375
154,-86.14286,-112.15385,2469.43505859375
155,-86.14286,-109.38462,2551.35498046875
156,-86.14286,-106.61538,2621.8818359375
157,-86.14286,-103.84615,2596.630615234375
158,-86.14286,-101.07692,2325.569091796875
159,-86.14286,-98.30769,2032.474975585938
160,-86.14286,-95.53846,1950.22216796875
161,-86.14286,-92.76923,1885.226440429688
162,-86.14286,-90.0,1843.053588867188
163,-86.14286,-87.23077,1796.675903320312
164,-86.14286,-84.46154,1751.063354492188
165,-86.14286,-81.69231,1723.391235351562
166,-86.14286,-78.92308,1677.011474609375
167,-86.14286,-76.15385,1559.611572265625
168,-86.14286,-73.38462,1426.517944335938
169,-86.14286,-70.61538,1467.72998046875
170,-86.14286,-67.84615,1603.536254882812
171,-86.14286,-65.07692,1769.827392578125
172,-86.14286,-62.30769,1888.902709960938
173,-86.14286,-59.53846,1946.427001953125
174,-86.14286,-56.76923,1932.2568359375
175,-86.14286,-54.0,1908.307739257812
176,-86.14286,-51.23077,1905.600341796875
177,-86.14286,-48.46154,1924.030639648438
178,-86.14286,-45.69231,1958.115478515625
179,-86.14286,-42.92308,1996.1328125
180,-86.14286,-40.15385,2040.033813476562
181,-86.14286,-37.38462,2084.31396484375
182,-86.14286,-34.61538,2119.882080078125
183,-86.14286,-31.84615,2142.408935546875
184,-86.14286,-29.07692,2163.3203125
185,-86.14286,-26.30769,2208.63818359375
186,-86.14286,-23.53846,2278.80029296875
187,-86.14286,-20.76923,2343.224853515625
188,-86.14286,-18.0,2396.338134765625
189,-86.14286,-15.23077,2443.10009765625
190,-86.14286,-12.46154,2482.532958984375
191,-86.14286,-9.69231,2518.904296875
192,-86.14286,-6.92308,2552.97314453125
193,-86.14286,-4.15385,2584.421630859375
194,-86.14286,-1.38462,2608.02001953125
195,-86.14286,1.38462,2627.587646484375
196,-86.14286,4.15385,2647.231689453125
197,-86.14286,6.92308,2667.48974609375
198,-86.14286,9.69231,2687.189453125
199,-86.14286,12.46154,2700.8857421875
200,-86.14286,15.23077,2713.8857421875
201,-86.14286,18.0,2729.09130859375
202,-86.14286,20.76923,2744.5078125
203,-86.14286,23.53846,2766.119873046875
204,-86.14286,26.30769,2802.500732421875
205,-86.14286,29.07692,2858.06298828125
206,-86.14286,31.84615,2918.878662109375
207,-86.14286,34.61538,2979.052978515625
208,-86.14286,37.38462,3045.89013671875
209,-86.14286,40.15385,3104.099853515625
210,-86.14286,42.92308,3137.144775390625
211,-86.14286,45.69231,3157.15234375
212,-86.14286,48.46154,3174.73779296875
213,-86.14286,51.23077,3191.698486328125
214,-86.14286,54.0,3204.71240234375
215,-86.14286,56.76923,3216.982666015625
216,-86.14286,59.53846,3228.298583984375
217,-86.14286,62.30769,3238.367431640625
218,-86.14286,65.07692,3244.967529296875
219,-86.14286,67.84615,3245.115478515625
220,-86.14286,70.61538,3243.898681640625
221,-86.14286,73.38462,3241.39794921875
222,-86.14286,76.15385,3237.97412109375
223,-86.14286,78.92308,3232.810302734375
224,-86.14286,81.69231,3223.835693359375
225,-86.14286,84.46154,3212.100830078125
226,-86.14286,87.23077,3196.58935546875
227,-86.14286,90.0,3181.26513671875
228,-86.14286,92.76923,3166.520751953125
229,-86.14286,95.53846,3151.85205078125
230,-86.14286,98.30769,3136.181396484375
231,-86.14286,101.07692,3120.654541015625
232,-86.14286,103.84615,3109.554931640625
233,-86.14286,106.61538,3103.432373046875
234,-86.14286,109.38462,3101.8857421875
235,-86.14286,112.15385,3099.880615234375
236,-86.14286,114.92308,3088.9267578125
237,-86.14286,117.69231,3069.827880859375
238,-86.14286,120.46154,3048.3310546875
239,-86.14286,123.23077,3026.803466796875
240,-86.14286,126.0,3006.964599609375
241,-86.14286,128.76923,2984.006591796875
242,-86.14286,131.53846,2957.404052734375
243,-86.14286,134.30769,2936.53173828125
244,-86.14286,137.07692,2911.940673828125
245,-86.14286,139.84615,2892.708984375
246,-86.14286,142.61538,2876.210693359375
247,-86.14286,145.38462,2862.74169921875
248,-86.14286,148.15385,2853.11865234375
249,-86.14286,150.92308,2847.863525390625
250,-86.14286,153.69231,2842.535400390625
251,-86.14286,156.46154,2826.21728515625
252,-86.14286,159.23077,2805.30322265625
253,-86.14286,162.0,2759.6416015625
254,-86.14286,164.76923,2710.22314453125
255,-86.14286,167.53846,2684.20849609375
256,-86.14286,170.30769,2655.1435546875
257,-86.14286,173.07692,2659.44677734375
258,-86.14286,175.84615,2697.710693359375
259,-86.14286,178.61538,2741.096435546875
260,-83.57143,-180.0,63.28568267822266
261,-83.57143,-177.23077,72.28568267822266
262,-83.57143,-174.46154,78.52458953857422
263,-83.57143,-171.69231,75.71431732177734
264,-83.57143,-168.92308,83.0
265,-83.57143,-166.15385,77.71431732177734
266,-83.57143,-163.38462,76.14295196533203
267,-83.57143,-160.61538,77.71431732177734
268,-83.57143,-157.84615,104.2899169921875
269,-83.57143,-155.07692,135.2140197753906
270,-83.57143,-152.30769,187.458251953125
271,-83.57143,-149.53846,283.8940734863281
272,-83.57143,-146.76923,328.4584350585938
273,-83.57143,-144.0,267.916748046875
274,-83.57143,-141.23077,332.0337829589844
275,-83.57143,-138.46154,372.1086730957031
276,-83.57143,-135.69231,446.3715209960938
277,-83.57143,-132.92308,489.5202331542969
278,-83.57143,-130.15385,589.02880859375
279,-83.57143,-127.38462,709.20068359375
280,-83.57143,-124.61538,825.409912109375
281,-83.57143,-121.84615,975.71044921875
282,-83.57143,-119.07692,1115.1376953125
283,-83.57143,-116.30769,1305.706665039062
284,-83.57143,-113.53846,1444.815795898438
285,-83.57143,-110.76923,1554.452514648438
286,-83.57143,-108.0,1791.028442382812
287,-83.57143,-105.23077,1913.649047851562
288,-83.57143,-102.46154,2003.123291015625
289,-83.57143,-99.69231,2004.0341796875
290,-83.57143,-96.92308,1948.8681640625
291,-83.57143,-94.15385,1903.3564453125
292,-83.57143,-91.38462,1796.822387695312
293,-83.57143,-88.61538,1651.172119140625
294,-83.57143,-85.84615,1489.324951171875
295,-83.57143,-83.07692,1337.467163085938
296,-83.57143,-80.30769,1246.468017578125
297,-83.57143,-77.53846,1093.873413085938
298,-83.57143,-74.76923,978.9087524414062
299,-83.57143,-72.0,919.5562744140625
300,-83.57143,-69.23077,838.77001953125
301,-83.57143,-66.46154,609.6259155273438
302,-83.57143,-63.69231,437.0647888183594
303,-83.57143,-60.92308,165.2967071533203
304,-83.57143,-58.15385,525.7503662109375
305,-83.57143,-55.38462,1011.986755371094
306,-83.57143,-52.61538,1447.3681640625
307,-83.57143,-49.84615,1121.29296875
308,-83.57143,-47.07692,1045.76953125
309,-83.57143,-44.30769,1052.593017578125
310,-83.57143,-41.53846,1338.568481445312
311,-83.57143,-38.76923,1482.1123046875
312,-83.57143,-36.0,1571.46533203125
313,-83.57143,-33.23077,1647.6787109375
314,-83.57143,-30.46154,1690.925415039062
315,-83.57143,-27.69231,1727.479858398438
316,-83.57143,-24.92308,1767.038940429688
317,-83.57143,-22.15385,1835.2509765625
318,-83.57143,-19.38462,1925.035400390625
319,-83.57143,-16.61538,2026.9892578125
320,-83.57143,-13.84615,2098.33740234375
321,-83.57143,-11.07692,2151.657958984375
322,-83.57143,-8.30769,2226.53466796875
323,-83.57143,-5.53846,2313.07861328125
324,-83.57143,-2.76923,2371.965576171875
325,-83.57143,0.0,2414.20751953125
326,-83.57143,2.76923,2459.310302734375
327,-83.57143,5.53846,2503.3466796875
328,-83.57143,8.30769,2530.947265625
329,-83.57143,11.07692,2547.5419921875
330,-83.57143,13.84615,2565.515625
331,-83.57143,16.61538,2587.901611328125
332,-83.57143,19.38462,2620.1484375
333,-83.57143,22.15385,2672.408935546875
334,-83.57143,24.92308,2721.8095703125
