,lat,long,elevation
135,-58.5,133.71429,-4535.68603515625
136,-58.5,144.0,-3782.159912109375
137,-58.5,154.28571,-3401.0576171875
138,-58.5,164.57143,-4595.07666015625
139,-58.5,174.85714,-5156.6416015625
140,-49.5,-180.0,-2315.800048828125
141,-49.5,-169.71429,-5161.37548828125
142,-49.5,-159.42857,-4930.04541015625
143,-49.5,-149.14286,-4254.41650390625
144,-49.5,-138.85714,-4611.7412109375
145,-49.5,-128.57143,-4071.714111328125
146,-49.5,-118.28571,-2921.354736328125
147,-49.5,-108.0,-3705.280029296875
148,-49.5,-97.71429,-4243.38623046875
149,-49.5,-87.42857,-4307.84619140625
150,-49.5,-77.14286,-3637.817626953125
151,-49.5,-66.85714,-92.73702239990234
152,-49.5,-56.57143,-603.5191650390625
153,-49.5,-46.28571,-4826.93212890625
154,-49.5,-36.0,-4916.16015625
155,-49.5,-25.71429,-4671.0546875
156,-49.5,-15.42857,-3829.2548828125
157,-49.5,-5.14286,-3449.88720703125
158,-49.5,5.14286,-3281.49560546875
159,-49.5,15.42857,-4369.45068359375
160,-49.5,25.71429,-4955.42529296875
161,-49.5,36.0,-4606.68017578125
162,-49.5,46.28571,-4421.013671875
163,-49.5,56.57143,-4240.279296875
164,-49.5,66.85714,-1252.516357421875
165,-49.5,77.14286,-3327.800048828125
166,-49.5,87.42857,-4121.068359375
167,-49.5,97.71429,-3311.781005859375
168,-49.5,108.0,-3488.760009765625
169,-49.5,118.28571,-3398.027099609375
170,-49.5,128.57143,-3699.456787109375
171,-49.5,138.85714,-3215.460205078125
172,-49.5,149.14286,-4014.43115234375
173,-49.5,159.42857,-4739.939453125
174,-49.5,169.71429,-655.279541015625
175,-40.5,-174.85714,-4060.99365234375
176,-40.5,-164.57143,-5208.0712890625
177,-40.5,-154.28571,-4942.84619140625
178,-40.5,-144.0,-5334.7998046875
179,-40.5,-133.71429,-4901.35302734375
180,-40.5,-123.42857,-3741.200439453125
181,-40.5,-113.14286,-3063.16650390625
182,-40.5,-102.85714,-4060.40087890625
183,-40.5,-92.57143,-3158.045166015625
184,-40.5,-82.28571,-4290.0205078125
185,-40.5,-72.0,1099.119995117188
186,-40.5,-61.71429,-26.09694290161133
187,-40.5,-51.42857,-5485.91455078125
188,-40.5,-41.14286,-5169.85693359375
189,-40.5,-30.85714,-4613.7998046875
190,-40.5,-20.57143,-3715.40625
191,-40.5,-10.28571,-3335.82275390625
192,-40.5,0.0,-4745.2001953125
193,-40.5,10.28571,-4702.0400390625
194,-40.5,20.57143,-5397.88427734375
195,-40.5,30.85714,-4694.06591796875
196,-40.5,41.14286,-2945.009521484375
197,-40.5,51.42857,-4031.3408203125
198,-40.5,61.71429,-5132.69921875
199,-40.5,72.0,-4136.43994140625
200,-40.5,82.28571,-3017.8662109375
201,-40.5,92.57143,-3340.054443359375
202,-40.5,102.85714,-4311.201171875
203,-40.5,113.14286,-4560.4541015625
204,-40.5,123.42857,-5030.61083984375
205,-40.5,133.71429,-5246.1787109375
206,-40.5,144.0,-67.68000030517578
207,-40.5,154.28571,-4651.6015625
208,-40.5,164.57143,-3477.78857421875
209,-40.5,174.85714,-99.94295501708984
210,-31.5,-180.0,-3092.60009765625
211,-31.5,-169.71429,-5499.138671875
212,-31.5,-159.42857,-5023.35400390625
213,-31.5,-149.14286,-4661.89208984375
214,-31.5,-138.85714,-4101.37744140625
215,-31.5,-128.57143,-3526.113525390625
216,-31.5,-118.28571,-3557.9443359375
217,-31.5,-108.0,-3324.784423828125
218,-31.5,-97.71429,-3509.31689453125
219,-31.5,-87.42857,-3716.742919921875
220,-31.5,-77.14286,-4120.486328125
221,-31.5,-66.85714,459.1036987304688
222,-31.5,-56.57143,165.2334899902344
223,-31.5,-46.28571,-3502.09814453125
224,-31.5,-36.0,-1922.0
225,-31.5,-25.71429,-4299.60791015625
226,-31.5,-15.42857,-3354.008056640625
227,-31.5,-5.14286,-4400.32470703125
228,-31.5,5.14286,-5095.1728515625
229,-31.5,15.42857,-1167.1513671875
230,-31.5,25.71429,1212.040771484375
231,-31.5,36.0,-2582.639892578125
232,-31.5,46.28571,-2424.591064453125
233,-31.5,56.57143,-5019.63916015625
234,-31.5,66.85714,-4617.86669921875
235,-31.5,77.14286,-3070.37255859375
236,-31.5,87.42857,-1733.882690429688
237,-31.5,97.71429,-2427.22021484375
238,-31.5,108.0,-5291.16015625
239,-31.5,118.28571,346.5293579101562
240,-31.5,128.57143,116.8857879638672
241,-31.5,138.85714,377.0273132324219
242,-31.5,149.14286,578.1345825195312
243,-31.5,159.42857,-1871.702514648438
244,-31.5,169.71429,-3927.873779296875
245,-22.5,-174.85714,-4347.9462890625
246,-22.5,-164.57143,-5157.9716796875
247,-22.5,-154.28571,-4541.57568359375
248,-22.5,-144.0,-4306.7998046875
249,-22.5,-133.71429,-3546.14697265625
250,-22.5,-123.42857,-3776.94287109375
251,-22.5,-113.14286,-3546.832275390625
252,-22.5,-102.85714,-3994.28515625
253,-22.5,-92.57143,-3811.82763671875
254,-22.5,-82.28571,-3063.660400390625
255,-22.5,-72.0,-3994.0
256,-22.5,-61.71429,214.9431304931641
257,-22.5,-51.42857,418.5720520019531
258,-22.5,-41.14286,-51.34295654296875
259,-22.5,-30.85714,-5117.88720703125
260,-22.5,-20.57143,-5241.11328125
261,-22.5,-10.28571,-4099.14697265625
262,-22.5,0.0,-5409.0
263,-22.5,10.28571,-3949.031982421875
264,-22.5,20.57143,1207.714233398438
265,-22.5,30.85714,361.5962829589844
266,-22.5,41.14286,-3188.693359375
267,-22.5,51.42857,-4913.1416015625
268,-22.5,61.71429,-4049.50341796875
269,-22.5,72.0,-4087.39990234375
270,-22.5,82.28571,-5154.078125
271,-22.5,92.57143,-4867.3154296875
272,-22.5,102.85714,-5630.70556640625
273,-22.5,113.14286,-1269.199096679688
274,-22.5,123.42857,344.4286804199219
275,-22.5,133.71429,574.3142700195312
276,-22.5,144.0,286.6000061035156
277,-22.5,154.28571,-914.129150390625
278,-22.5,164.57143,-3521.600341796875
279,-22.5,174.85714,-4268.29638671875
280,-13.5,-180.0,-1528.800048828125
281,-13.5,-169.71429,-4875.8212890625
282,-13.5,-159.42857,-5144.23388671875
283,-13.5,-149.14286,-4617.3994140625
284,-13.5,-138.85714,-3905.0234375
285,-13.5,-128.57143,-3881.285400390625
286,-13.5,-118.28571,-3594.625732421875
287,-13.5,-108.0,-3534.080078125
288,-13.5,-97.71429,-3733.688232421875
289,-13.5,-87.42857,-4068.99951171875
290,-13.5,-77.14286,-1515.041137695312
291,-13.5,-66.85714,166.6398162841797
292,-13.5,-56.57143,342.4456787109375
293,-13.5,-46.28571,831.5791625976562
294,-13.5,-36.0,-4371.83984375
295,-13.5,-25.71429,-5077.4462890625
296,-13.5,-15.42857,-3218.918701171875
297,-13.5,-5.14286,-3928.819091796875
298,-13.5,5.14286,-5511.08544921875
